pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889C3UnorderedGesture,visible,0,11,1543426484242,1543426486022,0
P01,CS889C3UnorderedGesture,visible,0,12,1543426486590,1543426487541,0
P01,CS889C3UnorderedGesture,visible,0,13,1543426488019,1543426489359,0
P01,CS889C3UnorderedGesture,visible,0,14,1543426489896,1543426494656,0
P01,CS889C3UnorderedGesture,visible,0,15,1543426495025,1543426497478,0
P01,CS889C3UnorderedGesture,visible,0,16,1543426497836,1543426499147,0
P01,CS889C3UnorderedGesture,visible,0,17,1543426499534,1543426500936,0
P01,CS889C3UnorderedGesture,visible,0,18,1543426501367,1543426503112,0
P01,CS889C3UnorderedGesture,visible,0,19,1543426503533,1543426508765,0
P01,CS889C3UnorderedGesture,visible,0,20,1543426509120,1543426510822,0
P01,CS889C3UnorderedGesture,visible,0,21,1543426511353,1543426514249,0
P01,CS889C3UnorderedGesture,visible,0,22,1543426515152,1543426516278,0
P01,CS889C3UnorderedGesture,visible,0,23,1543426516829,1543426521912,0
P01,CS889C3UnorderedGesture,visible,0,24,1543426522367,1543426523879,0
P01,CS889C3UnorderedGesture,visible,0,25,1543426524422,1543426530882,0
P01,CS889C3UnorderedGesture,visible,1,0,1543426539614,1543426540880,0
P01,CS889C3UnorderedGesture,visible,1,1,1543426541211,1543426542922,0
P01,CS889C3UnorderedGesture,visible,1,2,1543426543355,1543426546500,0
P01,CS889C3UnorderedGesture,visible,1,3,1543426546899,1543426547715,0
P01,CS889C3UnorderedGesture,visible,1,4,1543426548203,1543426551240,0
P01,CS889C3UnorderedGesture,visible,1,5,1543426551610,1543426567844,0
P01,CS889C3UnorderedGesture,visible,1,6,1543426568298,1543426573039,0
P01,CS889C3UnorderedGesture,visible,1,7,1543426573436,1543426575713,0
P01,CS889C3UnorderedGesture,visible,1,8,1543426576185,1543426578344,0
P01,CS889C3UnorderedGesture,visible,1,9,1543426578754,1543426584053,0
P01,CS889C3UnorderedGesture,visible,1,10,1543426584662,1543426587270,0
P01,CS889C3UnorderedGesture,visible,1,11,1543426587689,1543426588910,0
P01,CS889C3UnorderedGesture,visible,1,12,1543426589388,1543426590297,0
P01,CS889C3UnorderedGesture,visible,1,13,1543426590929,1543426593300,0
P01,CS889C3UnorderedGesture,visible,1,14,1543426593690,1543426608015,0
P01,CS889C3UnorderedGesture,visible,1,15,1543426608501,1543426612839,0
P01,CS889C3UnorderedGesture,visible,1,16,1543426613281,1543426616787,0
P01,CS889C3UnorderedGesture,visible,1,17,1543426617224,1543426618544,0
P01,CS889C3UnorderedGesture,visible,1,18,1543426618888,1543426636274,0
P01,CS889C3UnorderedGesture,visible,1,19,1543426636682,1543426641459,0
P01,CS889C3UnorderedGesture,visible,1,20,1543426641998,1543426644652,0
P01,CS889C3UnorderedGesture,visible,1,21,1543426645082,1543426648396,0
P01,CS889C3UnorderedGesture,visible,1,22,1543426648935,1543426650334,0
P01,CS889C3UnorderedGesture,visible,1,23,1543426650845,1543426654040,0
P01,CS889C3UnorderedGesture,visible,1,24,1543426654598,1543426660678,0
P01,CS889C3UnorderedGesture,visible,1,25,1543426661167,1543426662056,0
P01,CS889C3UnorderedGesture,visible,2,0,1543426673704,1543426683267,0
P01,CS889C3UnorderedGesture,visible,2,1,1543426683763,1543426687923,0
P01,CS889C3UnorderedGesture,visible,2,2,1543426688645,1543426694418,0
